Player,Pos,HT,WT,Birth Date,Team,GP,MPG,PPG,RPG,APG,SPB,BPG
Marcos Mejia,F,6-6,-,-,Brescia,-,-,-,-,-,-,-
Asier Miguel Torrero,GF,6-4,-,"Feb 2, 2006",Manhattan,4,6.00,3.25,0.75,0.50,0.50,0.25
Baba Miller,C,6-11,215,"Feb 7, 2004",Cincinnati,5,28.60,14.40,10.00,1.40,1.20,2.00
Oscar Morales,G,6-3,200,-,Western New England,-,-,-,-,-,-,-
Enrique Moya,G,5-11,150,-,Tennessee-Martin,-,-,-,-,-,-,-
Unai Moya,G,6-6,202,-,Chestnut Hill,-,-,-,-,-,-,-
Guillermo Narbona,F,6-7,225,-,St. Ambrose,-,-,-,-,-,-,-
Ignacio Nascimento Zschaeck,F,6-0,-,-,Mount Aloysius College,-,-,-,-,-,-,-
Pablo Navarro,SG,6-6,205,"Feb 7, 2005",St. Martin's,-,-,-,-,-,-,-
Victory Onuetu,C,6-10,235,"Mar 15, 2004",Hofstra,6,21.67,8.50,8.50,0.67,0.67,1.00
Marcos Pacheco Padilla,G,6-4,190,-,Davis & Elkins,-,-,-,-,-,-,-
Raul Perez,G,6-5,185,-,Mount Olive,-,-,-,-,-,-,-
Valentino Pinedo,SF,6-8,230,"Apr 7, 2004",UNC Greensboro,6,22.17,5.67,3.00,0.83,1.00,0.83
Ian Platteeuw,C,7-0,232,"Nov 3, 2007",Davidson,4,19.25,5.50,4.50,4.00,1.00,0.75
Iago Rimoldi,GF,6-3,-,-,Mount Aloysius College,-,-,-,-,-,-,-
Adria Rodriguez,PG,6-4,-,"Apr 28, 2003",Washington State,8,20.63,3.38,3.00,3.63,1.50,0.13
Jordi Rodriguez,F,6-6,197,"Apr 25, 2004",Cincinnati,5,13.40,4.40,1.40,1.20,0.20,0.00
Dani Romero,F,6-0,155,-,Augustana (IL),-,-,-,-,-,-,-
Roberto Ruesca,C,6-8,231,-,Emmanuel (GA),-,-,-,-,-,-,-
Javon Ruffin,PG,6-5,185,"Mar 1, 2003",Bowling Green,7,22.43,10.14,2.43,1.86,1.57,0.14
Juan Ruiz,C,6-9,-,-,Dickinson College,-,-,-,-,-,-,-
Juanma Ruiz,C,6-9,-,-,Northern Kentucky,-,-,-,-,-,-,-
Luis Ruiz,F,6-8,-,-,Dickinson College,-,-,-,-,-,-,-
Mario Saint-Supery,G,6-3,172,"Apr 14, 2006",Gonzaga,8,22.00,8.63,3.38,5.13,2.00,0.25
Ruben Salazar,C,6-6,-,"Apr 16, 2007",Erskine,-,-,-,-,-,-,-
Jorge Sanchez-Ramos Pereda,PG,6-3,185,-,Kentucky Wesleyan,-,-,-,-,-,-,-
Curro Segura,F,6-4,195,"Mar 21, 2006",William Jessup,-,-,-,-,-,-,-
Remi Skvorc,G,6-5,-,-,Buffalo State,-,-,-,-,-,-,-
Luca Soroa Schaller,F,6-6,195,"Oct 18, 2005",Northeastern,6,23.67,5.00,3.00,3.33,1.83,0.67
Pablo Tamba,F,6-7,206,"Sep 4, 2003",LSU,6,23.33,4.83,7.17,1.33,0.83,0.50
Jose Roberto Tanchyn,C,6-10,235,"Mar 19, 2004",UMBC,6,13.33,5.33,3.00,0.33,0.17,0.50
Xavi Tirado,F,6-6,-,-,Brescia,-,-,-,-,-,-,-
Raul Villar,G,6-3,190,"Oct 13, 2007",Charlotte,7,11.29,2.14,1.57,0.86,0.57,0.00
Manuel Zapater,F,6-8,-,"Sep 2, 2004",Mid-America Christian,-,-,-,-,-,-,-
